# data/orbz_sec/Another approach to service courses.txt 
-1 1:11  #17618
-1 1:154  #17761
-1 1:165  #17772
-1 1:333  #17940
-1 1:347  #17954
-1 1:486  #18093
-1 1:498  #18105
-1 1:544  #18151
-1 1:648  #18255
-1 1:660  #18267
-1 1:866  #18473
-1 1:990  #18597
-1 1:1004  #18611
-1 1:1136  #18743
-1 1:1148  #18755
-1 1:1281  #18888
-1 1:1295  #18902
-1 1:1457  #19064
-1 1:1621  #19228
-1 1:1638  #19245
-1 1:1781  #19388
-1 1:1796  #19403
-1 1:1945  #19552
-1 1:1960  #19567
-1 1:2124  #19731
-1 1:2137  #19744
-1 1:2307  #19914
-1 1:2322  #19929
-1 1:2413  #20020
-1 1:2525  #20132
-1 1:2539  #20146
-1 1:2580  #20187
-1 1:2697  #20304
-1 1:2713  #20320
-1 1:2874  #20481
-1 1:2889  #20496
-1 1:3045  #20652
-1 1:3060  #20667
-1 1:3169  #20776
-1 1:3184  #20791
-1 1:3297  #20904
-1 1:3311  #20918
-1 1:3484  #21091
-1 1:3494  #21101
-1 1:3612  #21219
+1 1:3627  #21234
